,Year 1 - kWh2024,Year 1 - Therms2024,Year 2 - kWh2025,Year 2 - Therms2025,Year 3 - kWh2025,Year 3 - Therms2025,BillDays
1,1409,399.68,nan,nan,nan,nan,31
2,1398,556.58,nan,nan,nan,nan,29
3,1312,482.68,nan,nan,nan,nan,31
4,1487,434.98,nan,nan,nan,nan,30
5,942,323.68,nan,nan,nan,nan,31
6,662,88.48,nan,nan,nan,nan,30
7,672,31.18,nan,nan,nan,nan,31
8,752,24.68,nan,nan,nan,nan,31
9,790,31.98,nan,nan,nan,nan,30
10,786,67.18,nan,nan,nan,nan,31
11,1005,120.98,nan,nan,nan,nan,30
12,1229,216.18,nan,nan,nan,nan,31
