,Year 1 - kWh2024,Year 1 - Therms2024,Year 2 - kWh2025,Year 2 - Therms2025,Year 3 - kWh2023,Year 3 - Therms2023,BillDays
1,2488.0,0.0,nan,nan,nan,nan,31
2,2175.0,0.0,nan,nan,nan,nan,29
3,1706.0,0.0,nan,nan,nan,nan,31
4,1157.0,0.0,nan,nan,nan,nan,30
5,695.0,0.0,nan,nan,nan,nan,31
6,539.0,0.0,nan,nan,nan,nan,30
7,204.0,0.0,nan,nan,nan,nan,31
8,199.0,0.0,nan,nan,nan,nan,31
9,405.0,0.0,nan,nan,nan,nan,30
10,732.0,0.0,nan,nan,nan,nan,31
11,1594.0,0.0,nan,nan,nan,nan,30
12,2034.0,0.0,nan,nan,nan,nan,31
